IDS,,Classification,Candidate,,,,,,,,(Candidate) How do you think you measure up,,,,,Candidate Preference,,,,,,Partner,,,,,,,,(Partner) How do you think you measure up,,,,,Parterner Preference,,,,,,Correlation,Candidate Propensities,,,
iid,pid,match,gender,age,race,undergra,field_cd,zipcode,income,career_c,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,gender_o,age_o,race_o,undergra,field_cd,zipcode,income,career_c,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,int_corr,imprace,imprelig,date,go_out
234,243,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.43,1,5,7,3
234,244,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,28,2,University of Washington,8,0,0,7,7,10,7,10,10,20,20,20,10,10,20,0.46,1,5,7,3
234,245,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,32,2,Columbia,7,2173,0,1,5,7,6,8,7,18,10,30,10,10,22,0.05,1,5,7,3
234,246,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,25,2,SUNY Stony Brook,10,11234,41476,2,7,8,6,7,6,35,20,10,20,10,5,0.44,1,5,7,3
234,247,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,25,4,Fudan University,10,200065,0,2,5,10,2,8,4,20,30,10,15,0,25,-0.2,1,5,7,3
234,248,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,27,6,Cornell,8,92037,49841,7,5,6,8,8,8,25,15,20,20,15,5,0.23,1,5,7,3
234,249,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,33,6,Universidad Catolica de Chile,8,0,0,7,7,9,7,10,7,22,22,15,15,5,21,0.3,1,5,7,3
234,250,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,25,6,Amherst College,6,0,0,2,10,9,9,10,10,20,20,20,20,10,10,0.66,1,5,7,3
234,251,0,0,22,6,George Mason University,3,"23,060","44,346.00",2,7,7,8,8,10,20,20,20,10,10,20,,33,6,Hebrew University,7,0,0,10,8,10,9,10,9,19,19,19,19,19,5,-0.12,1,5,7,3
235,243,1,0,23,2,Holy Cross,9,"1,890","0,0",2,6,9,9,8,9,15,15,20,20,20,10,,27,2,Yale University,16,0,0,2,7,9,8,9,5,20,20,20,25,5,10,0.33,3,1,4,3
